Username,Registration Date,Last Login Date
user_0000,2017-04-01,2017-05-13
user_0001,2015-06-12,2015-08-08
user_0002,2022-01-05,2022-07-20
user_0003,2021-07-25,2023-06-03
user_0004,2020-04-16,2020-06-17
user_0005,2022-06-21,2023-03-11
user_0006,2020-01-25,2020-05-16
user_0007,2020-02-04,2022-01-15
user_0008,2018-01-20,2018-07-17
user_0009,2021-02-06,2021-03-04
user_0010,2022-08-22,2023-10-06
user_0011,2022-05-31,2023-11-13
user_0012,2020-02-26,2021-01-08
user_0013,2021-12-15,2023-05-31
user_0014,2017-07-11,2017-10-25
user_0015,2020-12-15,2022-03-24
user_0016,2018-12-20,2019-08-23
user_0017,2019-05-02,2019-07-22
user_0018,2016-07-18,2018-05-11
user_0019,2022-02-10,2023-03-13
user_0020,2021-11-05,2023-04-11
user_0021,2016-04-15,2017-01-04
user_0022,2017-09-14,2019-07-07
user_0023,2022-08-17,2023-05-18
user_0024,2020-04-18,2022-03-25
user_0025,2015-08-12,2016-01-31
user_0026,2021-01-10,2021-10-02
user_0027,2022-02-20,2022-03-18
user_0028,2015-12-17,2017-03-30
user_0029,2020-04-12,2021-08-01
user_0030,2015-12-15,2016-12-05
user_0031,2015-07-01,2015-07-27
user_0032,2016-09-28,2016-11-01
user_0033,2017-10-14,2018-07-05
user_0034,2021-02-04,2021-06-22
user_0035,2017-02-10,2019-01-06
user_0036,2017-10-12,2019-05-01
user_0037,2020-10-12,2022-01-17
user_0038,2015-01-29,2015-07-16
user_0039,2021-08-16,2023-05-09
user_0040,2020-11-14,2022-08-31
user_0041,2020-03-08,2020-05-28
user_0042,2019-01-05,2020-02-16
user_0043,2018-05-11,2019-12-06
user_0044,2020-08-30,2020-10-15
user_0045,2022-08-14,2024-04-04
user_0046,2018-01-30,2019-10-03
user_0047,2015-03-07,2015-04-29
user_0048,2022-04-04,2024-03-08
user_0049,2018-02-08,2019-05-30
user_0050,2015-12-04,2017-07-18
user_0051,2020-12-10,2020-12-26
user_0052,2019-09-25,2020-09-19
user_0053,2016-03-22,2017-07-22
user_0054,2022-04-12,2024-03-18
user_0055,2022-06-11,2023-10-26
user_0056,2022-04-16,2022-09-04
user_0057,2015-10-08,2017-06-19
user_0058,2016-08-18,2017-11-08
user_0059,2020-06-09,2021-03-26
user_0060,2022-07-13,2023-02-07
user_0061,2017-12-10,2019-03-30
user_0062,2015-07-29,2016-09-14
user_0063,2015-05-06,2017-03-13
user_0064,2016-05-06,2017-07-07
user_0065,2017-08-27,2018-09-02
user_0066,2016-08-03,2018-05-29
user_0067,2022-09-25,2023-07-12
user_0068,2021-04-24,2022-06-30
user_0069,2018-04-26,2019-01-19
user_0070,2015-08-18,2016-01-16
user_0071,2015-07-08,2017-06-26
user_0072,2020-08-19,2021-05-01
user_0073,2022-06-16,2023-06-04
user_0074,2016-05-16,2017-05-28
