Username,Age,State
user_0000,56,Kedah
user_0001,69,Putrajaya
user_0002,46,Sabah
user_0003,32,Perlis
user_0004,60,Perlis
user_0005,25,Perak
user_0006,38,Sabah
user_0007,56,Kuala Lumpur
user_0008,36,Terengganu
user_0009,40,Sabah
user_0010,28,Johor
user_0011,28,Kedah
user_0012,41,Pahang
user_0013,70,Sabah
user_0014,53,Negeri Sembilan
user_0015,57,Selangor
user_0016,41,Kuala Lumpur
user_0017,20,Perlis
user_0018,39,Negeri Sembilan
user_0019,70,Kedah
user_0020,19,Sabah
user_0021,41,Malacca
user_0022,61,Perlis
user_0023,47,Johor
user_0024,55,Sarawak
user_0025,19,Johor
user_0026,38,Selangor
user_0027,50,Penang
user_0028,29,Sarawak
user_0029,39,Kelantan
user_0030,61,Sabah
user_0031,42,Kedah
user_0032,66,Perlis
user_0033,44,Kelantan
user_0034,59,Labuan
user_0035,45,Kedah
user_0036,33,Selangor
user_0037,32,Perak
user_0038,64,Sabah
user_0039,68,Pahang
user_0040,61,Pahang
user_0041,69,Sabah
user_0042,20,Sarawak
user_0043,54,Penang
user_0044,68,Penang
user_0045,24,Sarawak
user_0046,38,Terengganu
user_0047,26,Putrajaya
user_0048,56,Pahang
user_0049,35,Malacca
user_0050,21,Sarawak
user_0051,42,Perlis
user_0052,31,Pahang
user_0053,67,Malacca
user_0054,26,Selangor
user_0055,43,Kelantan
user_0056,70,Malacca
user_0057,19,Kelantan
user_0058,37,Putrajaya
user_0059,45,Kedah
user_0060,64,Kuala Lumpur
user_0061,24,Negeri Sembilan
user_0062,61,Kedah
user_0063,25,Pahang
user_0064,64,Kelantan
user_0065,52,Pahang
user_0066,31,Putrajaya
user_0067,34,Sarawak
user_0068,53,Sabah
user_0069,67,Perlis
user_0070,57,Johor
user_0071,21,Labuan
user_0072,19,Labuan
user_0073,23,Pahang
user_0074,59,Perlis
user_0075,21,Sarawak
user_0076,46,Malacca
user_0077,35,Sarawak
user_0078,43,Selangor
user_0079,61,Kedah
user_0080,51,Terengganu
user_0081,27,Malacca
user_0082,53,Johor
user_0083,31,Kelantan
user_0084,48,Sabah
user_0085,65,Perlis
user_0086,32,Sabah
user_0087,25,Negeri Sembilan
user_0088,31,Putrajaya
user_0089,40,Sarawak
user_0090,57,Pahang
user_0091,38,Kelantan
user_0092,33,Labuan
user_0093,62,Negeri Sembilan
user_0094,35,Sarawak
user_0095,64,Perak
user_0096,70,Pahang
user_0097,41,Malacca
user_0098,43,Kedah
user_0099,42,Kuala Lumpur
user_0100,62,Perlis
user_0101,58,Terengganu
user_0102,46,Selangor
user_0103,32,Johor
user_0104,62,Johor
user_0105,18,Terengganu
user_0106,42,Malacca
user_0107,24,Penang
user_0108,26,Johor
user_0109,41,Perlis
user_0110,18,Malacca
user_0111,61,Kelantan
user_0112,25,Johor
user_0113,41,Sabah
user_0114,28,Malacca
user_0115,68,Perlis
user_0116,34,Terengganu
user_0117,25,Kuala Lumpur
user_0118,52,Sabah
user_0119,52,Labuan
user_0120,50,Labuan
user_0121,22,Pahang
user_0122,59,Labuan
user_0123,56,Pahang
user_0124,58,Johor
user_0125,45,Sabah
user_0126,24,Kedah
user_0127,26,Sarawak
user_0128,25,Pahang
user_0129,29,Kedah
user_0130,51,Kelantan
user_0131,50,Malacca
user_0132,65,Sarawak
user_0133,40,Negeri Sembilan
user_0134,41,Putrajaya
user_0135,54,Perlis
user_0136,52,Selangor
user_0137,61,Putrajaya
user_0138,57,Putrajaya
user_0139,39,Malacca
user_0140,44,Terengganu
user_0141,52,Sarawak
user_0142,18,Perlis
user_0143,52,Sarawak
user_0144,54,Sabah
user_0145,64,Kelantan
user_0146,31,Perak
user_0147,20,Selangor
user_0148,18,Johor
user_0149,22,Sarawak
user_0150,43,Perlis
user_0151,31,Perlis
user_0152,56,Sabah
user_0153,44,Kedah
user_0154,26,Malacca
user_0155,32,Terengganu
user_0156,32,Perak
user_0157,43,Penang
user_0158,59,Johor
user_0159,30,Negeri Sembilan
user_0160,68,Penang
user_0161,49,Putrajaya
user_0162,56,Labuan
user_0163,66,Malacca
user_0164,69,Putrajaya
user_0165,49,Labuan
user_0166,21,Putrajaya
user_0167,47,Johor
user_0168,54,Perlis
user_0169,40,Kuala Lumpur
user_0170,56,Negeri Sembilan
user_0171,62,Sarawak
user_0172,32,Labuan
user_0173,60,Kedah
user_0174,46,Perak
user_0175,53,Sarawak
user_0176,30,Terengganu
user_0177,49,Kedah
user_0178,24,Kelantan
user_0179,68,Kuala Lumpur
user_0180,39,Sabah
user_0181,45,Johor
user_0182,19,Sarawak
user_0183,59,Labuan
user_0184,62,Kedah
user_0185,70,Kuala Lumpur
user_0186,23,Labuan
user_0187,45,Penang
user_0188,45,Sabah
user_0189,61,Kedah
user_0190,61,Pahang
user_0191,37,Putrajaya
user_0192,47,Kelantan
user_0193,28,Malacca
user_0194,45,Sarawak
user_0195,42,Putrajaya
user_0196,56,Terengganu
user_0197,50,Perak
user_0198,18,Kuala Lumpur
user_0199,44,Kelantan
user_0200,69,Sabah
user_0201,30,Pahang
user_0202,58,Johor
user_0203,20,Penang
user_0204,56,Perak
user_0205,23,Sarawak
user_0206,25,Kuala Lumpur
user_0207,44,Perak
user_0208,26,Kelantan
user_0209,54,Kuala Lumpur
user_0210,50,Sabah
user_0211,68,Johor
user_0212,59,Perlis
user_0213,61,Terengganu
user_0214,41,Pahang
user_0215,32,Sarawak
user_0216,49,Perlis
user_0217,49,Penang
user_0218,41,Johor
user_0219,58,Selangor
user_0220,69,Selangor
user_0221,66,Johor
user_0222,66,Pahang
user_0223,69,Negeri Sembilan
user_0224,29,Perlis
user_0225,56,Kedah
user_0226,19,Perak
user_0227,20,Sarawak
user_0228,66,Negeri Sembilan
user_0229,54,Kedah
user_0230,66,Terengganu
user_0231,34,Sabah
user_0232,66,Sarawak
user_0233,19,Sarawak
user_0234,19,Selangor
user_0235,45,Pahang
user_0236,40,Sabah
user_0237,54,Perak
user_0238,49,Malacca
user_0239,50,Kedah
user_0240,18,Selangor
user_0241,36,Sarawak
user_0242,19,Negeri Sembilan
user_0243,70,Putrajaya
user_0244,61,Selangor
user_0245,43,Kedah
user_0246,49,Kedah
user_0247,23,Putrajaya
user_0248,49,Pahang
user_0249,21,Labuan
user_0250,28,Sarawak
user_0251,34,Sabah
user_0252,55,Perlis
user_0253,41,Terengganu
user_0254,22,Malacca
user_0255,69,Pahang
user_0256,51,Labuan
user_0257,23,Penang
user_0258,39,Terengganu
user_0259,28,Sarawak
user_0260,65,Pahang
user_0261,33,Perak
user_0262,50,Malacca
user_0263,26,Selangor
user_0264,23,Putrajaya
user_0265,33,Johor
user_0266,46,Penang
user_0267,20,Kelantan
user_0268,37,Kuala Lumpur
user_0269,53,Pahang
user_0270,36,Kedah
user_0271,43,Perlis
user_0272,20,Johor
user_0273,36,Pahang
user_0274,37,Pahang
user_0275,49,Negeri Sembilan
user_0276,24,Labuan
user_0277,69,Terengganu
user_0278,58,Negeri Sembilan
user_0279,50,Johor
user_0280,57,Sabah
user_0281,56,Selangor
user_0282,35,Negeri Sembilan
user_0283,57,Kedah
user_0284,18,Penang
user_0285,28,Kelantan
user_0286,45,Terengganu
user_0287,42,Putrajaya
user_0288,67,Malacca
user_0289,40,Kelantan
user_0290,48,Kelantan
user_0291,47,Malacca
user_0292,59,Negeri Sembilan
user_0293,52,Johor
user_0294,24,Malacca
user_0295,33,Selangor
user_0296,43,Selangor
user_0297,65,Sarawak
user_0298,69,Perak
user_0299,66,Sabah
user_0300,19,Penang
user_0301,18,Perlis
user_0302,65,Negeri Sembilan
user_0303,29,Terengganu
user_0304,22,Putrajaya
user_0305,54,Sabah
user_0306,49,Malacca
user_0307,26,Perak
user_0308,58,Perlis
user_0309,52,Terengganu
user_0310,36,Penang
user_0311,65,Kuala Lumpur
user_0312,33,Labuan
user_0313,20,Penang
user_0314,37,Labuan
user_0315,41,Negeri Sembilan
user_0316,50,Malacca
